"id","name","type","note","include_initial_balance"
"account_type_obveze_dob","Obveze prema dobavljačima","payable",,"TRUE"
"account_type_potraz_kup","Potraživanja od kupaca","receivable",,"TRUE"
"account_type_upis_kapital","Potraživanja za upisani kapital","other",,"TRUE"
"account_type_dug_imovina","Dugotrajna imovina","other",,"TRUE"
"account_type_kratk_imovina","Kratkotrajna imovina","liquidity",,"TRUE"
"account_type_aktiv_razgran","Aktivna vrem. Razgraničenja","other",,"TRUE"
"account_type_kapital","Kapital i rezerve","other",,"TRUE"
"account_type_rezervacije","Rezerviranja","other",,"TRUE"
"account_type_other","Ostalo","other",,"TRUE"
"account_type_posl_prihod","Poslovni prihodi","other",,"TRUE"
"account_type_izv_prihod","Izvanredni prihodi","other",,"TRUE"
"account_type_fin_prihod","Financijski prihodi","other",,"TRUE"
"account_type_posl_rashod","Poslovni rashodi","other",,"TRUE"
"account_type_inv_rashod","Izvanredni rashodi","other",,"TRUE"
"account_type_fin_rashod","Financijski rashodi","other",,"TRUE"
"account_type_dug_obv","Dugoročne obveze","other",,"TRUE"
"account_type_pas_razgran","Pasivna vrem. Razgraničenja","other",,"TRUE"
"account_type_kratk_obveze","Kratkoročne obveze","other",,"TRUE"
"account_type_pdv","Obveze za PDV","other",,"FALSE"
"account_type_pretporez","Potraživanja za pretporez","other",,"FALSE"
"account_type_aktiva","Aktiva","other",,"FALSE"
"account_type_pasiva","Pasiva","other",,"FALSE"
"account_type_prihod","Prihod","other",,"FALSE"
"account_type_rashod","Rashod","other",,"FALSE"
